Keywords,Definitions
Espionage,n. Spying or use of spies. [french: related to *spy]
Esplanade,"n. 1 long open level area for walking on, esp. Beside the sea. 2 level space separating a fortress from a town. [latin planus level]"
Espousal,"n. 1 (foll. By of) espousing of (a cause etc.). 2 archaic marriage, betrothal."
Espouse,"v. (-sing) 1 adopt or support (a cause, doctrine, etc.). 2 archaic a (usu. Of a man) marry. B (usu. Foll. By to) give (a woman) in marriage. [latin spondeo betroth]"
Ex-servicewoman,n. Woman formerly a member of the armed forces.
Extant,adj. Still existing. [latin ex(s)to exist]
Extemporaneous,adj. Spoken or done without preparation.
Extemporary,adj. = *extemporaneous.
Extempore,adj. & adv. Without preparation. [latin]
Extemporize,v. (also -ise) (-zing or -sing) improvise.
Extend,"v. 1 lengthen or make larger in space or time. 2 stretch or lay out at full length. 3 (foll. By to, over) reach or be or make continuous over a specified area. 4 (foll. By to) have a specified scope (permit does not extend to camping). 5 offer or accord (an invitation, hospitality, kindness, etc.). 6 (usu. Refl. Or in passive) tax the powers of (an athlete, horse, etc.)."
Extended family,n. Family including relatives living near.
Extended-play,adj. (of a gramophone record) playing for somewhat longer than most singles.
Extension,n. 1 extending or being extended. 2 part enlarging or added on to a main building etc. 3 additional part. 4 a subsidiary telephone on the same line as the main one. B its number. 5 additional period of time. 6 extramural instruction by a university or college.
Extensive,adj. 1 covering a large area. 2 far-reaching.
Extent,"n. 1 space over which a thing extends. 2 range, scope, degree. [anglo-french: related to *extend]"
Extenuate,v. (often as extenuating adj.) Make (guilt or an offence) seem less serious by reference to another factor.
Exterior,adj. 1 of or on the outer side. 2 coming from outside. n. 1 outward aspect or surface of a building etc. 2 outward demeanour. 3 outdoor scene in filming. [latin]
Exterminate,v. (-ting) destroy utterly (esp. A living thing).
External,adj. 1 a of or on the outside or visible part. B coming from the outside or an outside source. 2 relating to a country's foreign affairs. 3 outside the conscious subject (the external world). 4 (of medicine etc.) For use on the outside of the body. 5 for students taking the examinations of a university without attending it. n. (in pl.) 1 outward features or aspect. 2 external circumstances. 3 inessentials.
Externalize,v. (also -ise) (-zing or -sing) give or attribute external existence to.
Extinct,adj. 1 that has died out. 2 a no longer burning. B (of a volcano) that no longer erupts. 3 obsolete. [latin ex(s)tinguo -stinct- quench]
Extinction,n. 1 making or becoming extinct. 2 extinguishing or being extinguished. 3 total destruction or annihilation.
Extinguish,"v. 1 cause (a flame, light, etc.) To die out. 2 destroy. 3 terminate. 4 wipe out (a debt)."
Extinguisher,n. = *fire extinguisher.
Extirpate,v. (-ting) root out; destroy completely.
Extol,v. (-ll-) praise enthusiastically. [latin tollo raise]
Extort,v. Obtain by coercion. [latin torqueo tort- twist]
Extortion,"n. 1 act of extorting, esp. Money. 2 illegal exaction."
Extortionate,adj. (of a price etc.) Exorbitant.
Extra,adj. Additional; more than usual or necessary or expected. adv. 1 more than usually. 2 additionally (was charged extra). n. 1 extra thing. 2 thing for which an extra charge is made. 3 person engaged temporarily for a minor part in a film. 4 special issue of a newspaper etc. 5 cricket run scored other than from a hit with the bat. [probably from *extraordinary]
Extra-,"comb. Form 1 outside, beyond. 2 beyond the scope of. [latin extra outside]"
Extra-,"comb. Form 1 outside, beyond. 2 beyond the scope of. [latin extra outside]"
Extra cover,"n. Cricket 1 fielding position on a line between cover-point and mid-off, but beyond these. 2 fielder at this position."
Extract,"v. 1 remove or take out, esp. By effort or force. 2 obtain (money, an admission, etc.) Against a person's will. 3 obtain (a natural resource) from the earth. 4 select or reproduce for quotation or performance. 5 obtain (juice etc.) By pressure, distillation, etc. 6 derive (pleasure etc.). 7 find (the root of a number). n. 1 short passage from a book etc. 2 preparation containing a concentrated constituent of a substance (malt extract). [latin traho tract- draw]"
Extraction,"n. 1 extracting or being extracted. 2 removal of a tooth. 3 lineage, descent (of indian extraction). [latin: related to *extract]"
Extractive,adj. Of or involving extraction.
Extractor,n. 1 person or machine that extracts. 2 (attrib.) (of a device) that extracts bad air etc.
Extracurricular,adj. Not part of the normal curriculum.
Extraditable,adj. 1 liable to extradition. 2 (of a crime) warranting extradition.
Extradite,v. (-ting) hand over (a person accused or convicted of a crime) to the foreign state etc. In which the crime was committed.
Extramarital,adj. (esp. Of sexual relations) occurring outside marriage.
Extramural,"adj. Additional to normal teaching or studies, esp. For non-resident students."
Extraneous,"adj. 1 of external origin. 2 (often foll. By to) a separate from the object to which it is attached etc. B irrelevant, unrelated. [latin extraneus]"
Extraordinary,"adj. 1 unusual or remarkable. 2 unusually great. 3 (of a meeting, official, etc.) Additional; specially employed."
Extrapolate,v. (-ting) (also absol.) Calculate approximately from known data etc. (others which lie outside the range of those known).
Extrasensory,"adj. Derived by means other than the known senses, e.g. By telepathy."
Extraterrestrial,adj. Outside the earth or its atmosphere. n. (in science fiction) being from outer space.
Extravagant,adj. 1 spending money excessively. 2 excessive; absurd. 3 costing much.
Extravaganza,"n. 1 spectacular theatrical or television production. 2 fanciful literary, musical, or dramatic composition. [italian]"
Extreme,"adj. 1 of a high, or the highest, degree (extreme danger). 2 severe (extreme measures). 3 outermost. 4 on the far left or right of a political party. 5 utmost; last. n. 1 (often in pl.) Either of two things as remote or as different as possible. 2 thing at either end. 3 highest degree. 4 math. First or last term of a ratio or series."
Extreme unction,n. Last rites in the roman catholic and orthodox churches.
Extremist,n. (also attrib.) Person with extreme views.
Extremity,n. (pl. -ies) 1 extreme point; very end. 2 (in pl.) The hands and feet. 3 condition of extreme adversity. [latin: related to *extreme]
Extricate,v. (-ting) (often foll. By from) free or disentangle from a difficulty etc.
Extrinsic,adj. 1 not inherent or intrinsic. 2 (often foll. By to) extraneous; not belonging.
Extrovert,n. 1 outgoing person. 2 person mainly concerned with external things. adj. Typical of or with the nature of an extrovert.
Extrude,"v. (-ding) 1 (foll. By from) thrust or force out. 2 shape metal, plastics, etc. By forcing them through a die."
Exuberant,"adj. 1 lively, high-spirited. 2 (of a plant etc.) Prolific. 3 (of feelings etc.) Abounding."
Exude,v. (-ding) 1 ooze out. 2 emit (a smell). 3 display (an emotion etc.) Freely.
Exult,v. Be joyful.
-ey,var. Of *-y2.
Eye,"n. 1 organ of sight. 2 eye characterized by the colour of the iris (has blue eyes). 3 region round the eye (eyes swollen from weeping). 4 (in sing. Or pl.) Sight. 5 particular visual ability (a straight eye). 6 thing like an eye, esp.: a a spot on a peacock's tail. B a leaf bud of a potato. 7 calm region at the centre of a hurricane etc. 8 hole of a needle. v. (eyes, eyed, eyeing or eying) (often foll. By up) watch or observe closely, esp. Admiringly or with suspicion."
Eyeball,n. Ball of the eye within the lids and socket. v. Us slang look or stare (at).
Eyeball to eyeball,adv. Colloq. Confronting closely.
Eyebath,n. Small vessel for applying lotion etc. To the eye.
Eyebright,n. Plant used as a remedy for weak eyes.
Eyebrow,n. Line of hair on the ridge above the eye-socket.
Eye-catching,adj. Colloq. Striking.
Eyeful,n. (pl. -s) colloq. 1 (esp. In phr. Get an eyeful (of)) good look; as much as the eye can take in. 2 visually striking person or thing. 3 thing thrown or blown into the eye.
Eyeglass,n. Lens to assist defective sight.
Eyehole,n. Hole to look through.
Eyelash,n. Each of the hairs growing on the edges of the eyelids.
Eyelet,n. 1 small hole for string or rope etc. To pass through. 2 metal ring strengthening this. [french oillet from latin oculus]
Eyelid,n. Either of the folds of skin closing to cover the eye.
Eye-liner,n. Cosmetic applied as a line round the eye.
Eye-opener,n. Colloq. Enlightening experience; unexpected revelation.
Eyepiece,n. Lens or lenses to which the eye is applied at the end of an optical instrument.
Eye-shade,"n. Device to protect the eyes, esp. From strong light."
Eye-shadow,n. Coloured cosmetic applied to the eyelids.
Eyesight,n. Faculty or power of seeing.
Eyesore,n. Ugly thing.
Eye strain,n. Fatigue of the eye muscles.
Eye-tooth,n. Canine tooth in the upper jaw just under the eye.
Eyewash,n. 1 lotion for the eyes. 2 slang nonsense; insincere talk.
Eyewitness,n. Person who saw a thing happen and can tell of it.
Eyrie,"n. 1 nest of a bird of prey, esp. An eagle, built high up. 2 house etc. Perched high up. [french aire lair, from latin agrum piece of ground]"
F,F
Espresso,n. (also expresso) (pl. -s) strong black coffee made under steam pressure.
Esprit,"n. Sprightliness, wit."
Espy,"v. (-ies, -ied) catch sight of. [french: related to *spy]"
Esq.,Abbr. Esquire.
-esque,suffix forming adjectives meaning in the style of or resembling (kafkaesque). [french from latin -iscus]
Esquire,"n. 1 (usu. As abbr. Esq.) Title added to a man's surname when no other title is used, esp. As a form of address for letters. 2 archaic = *squire. [french from latin scutum shield]"
-ess,suffix forming nouns denoting females (actress; lioness). [greek -issa]
Essay,"n. 1 short piece of writing on a given subject. 2 (often foll. By at, in) formal attempt. v. Attempt."
Essence,n. 1 fundamental nature; inherent characteristics. 2 a extract got by distillation etc. B perfume.
Essential,adj. 1 necessary; indispensable. 2 of or constituting the essence of a person or thing. n. (esp. In pl.) Basic or indispensable element or thing.
Essential oil,n. Volatile oil derived from a plant etc. With its characteristic odour.
-est,suffix forming the superlative of adjectives (widest; nicest; happiest) and adverbs (soonest). [old english]
Establish,"v. 1 set up (a business, system, etc.) On a permanent basis. 2 (foll. By in) settle (a person or oneself) in some capacity. 3 (esp. As established adj.) A achieve permanent acceptance for (a custom, belief, etc.). B place (a fact etc.) Beyond dispute. [latin stabilio make firm]"
Established church,n. The church recognized by the state.
Establishment,n. 1 establishing or being established. 2 a business organization or public institution. B place of business. C residence. 3 a staff of an organization. B household. 4 organized body permanently maintained. 5 church system organized by law. 6 (the establishment) social group with authority or influence and resisting change.
Estate,n. 1 property consisting of much land and usu. A large house. 2
Estate agent,n. Person whose business is the sale or lease of buildings and land on behalf of others.
Estate car,n. Car with a continuous area for rear passengers and luggage.
Estate duty,n. Hist. Death duty.
Usage,estate duty was replaced in 1975 by capital transfer tax and in 1986 by inheritance tax.
Esteem,v. 1 (usu. In passive) have a high regard for. 2 formal consider (esteemed it an honour). n. High regard; favour. [latin: related to *estimate]
Ester,n. Chem. A compound produced by replacing the hydrogen of an acid by an organic radical. [german]
Estimable,adj. Worthy of esteem; admirable. [latin: related to *esteem]
Estimate,"n. 1 approximate judgement, esp. Of cost, value, size, etc. 2 statement of approximate charge for work to be undertaken. v. (-ting) (also absol.) 1 form an estimate or opinion of. 2 (foll. By that) make a rough calculation. 3 (often foll. By at) form an estimate; adjudge."
Estimation,n. 1 estimating. 2 judgement of worth. [latin: related to *estimate]
Estonian,"n. 1 a native or national of estonia in eastern europe. B person of estonian descent. 2 language of estonia. adj. Of estonia, its people, or language."
Estrange,v. (-ging) 1 (usu. In passive; often foll. By from) alienate; make hostile or indifferent. 2 (as estranged adj.) (of a husband or wife) no longer living with his or her spouse.
Estrogen,"n. (brit. Oestrogen) 1 sex hormone developing and maintaining female characteristics of the body. 2 this produced artificially for use in medicine. [greek oistros frenzy, *-gen]"
Estrus,"n. (also estrum, brit. Oestrus) recurring period of sexual receptivity in many female mammals"
Estuary,n. (pl. -ies) wide tidal river mouth. [latin aestus tide]
Eta,abbr. Estimated time of arrival.
Eta,"n. Seventh letter of the greek alphabet (h, h). [greek]"
Et al.,Abbr. And others. [latin et alii]
Etc.,Abbr. = *et cetera.
Et cetera,(also etcetera) adv. 1 and the rest. 2 and so on. n. (in pl.) The usual extras. [latin]
Etch,"v. 1 a reproduce (a picture etc.) By engraving it on a metal plate with acid (esp. To print copies). B engrave (a plate) in this way. 2 practise this craft. 3 (foll. By on, upon) impress deeply (esp. On the mind)."
Etching,n. 1 print made from an etched plate. 2 art of producing these plates.
Eternal,adj. 1 existing always; without an end or (usu.) Beginning. 2 unchanging. 3 colloq. Constant; too frequent (eternal nagging).
Eternal triangle,n. Two people of one sex and one person of the other involved in a complex emotional relationship.
Eternity,n. (pl. -ies) 1 infinite (esp. Future) time. 2 endless life after death. 3 being eternal. 4 colloq. (often prec. By an) a very long time. [latin: related to *eternal]
Eternity ring,n. Finger-ring esp. Set with gems all round.
-eth,var. Of *-th.
Ethanal,n. = *acetaldehyde.
Ethane,n. Gaseous hydrocarbon of the alkane series. [from *ether]
Ether,n. 1 chem. Colourless volatile organic liquid used as an anaesthetic or solvent. 2 clear sky; upper regions of the air. 3 hist. A medium formerly assumed to permeate all space. B medium through which electromagnetic waves were formerly thought to be transmitted. [greek aitho burn]
Ethereal,"adj. 1 light, airy. 2 highly delicate, esp. In appearance. 3 heavenly."
Ethic,n. Set of moral principles (the quaker ethic). adj. = *ethical. [greek: related to *ethos]
Ethical,"adj. 1 relating to morals, esp. As concerning human conduct. 2 morally correct. 3 (of a drug etc.) Not advertised to the general public, and usu. Available only on prescription."
Ethics,n.pl. (also treated as sing.) 1 moral philosophy. 2 a moral principles. B set of these.
Ethiopian,n. 1 native or national of ethiopia in ne africa. 2 person of ethiopian descent. adj. Of ethiopia.
Ethnic,"adj. 1 a (of a social group) having a common national or cultural tradition. B (of music, clothing, etc.) Inspired by or resembling those of an exotic people. 2 denoting origin by birth or descent rather than nationality (ethnic turks)."
Ethnology,n. The comparative study of peoples.
Ethos,n. Characteristic spirit or attitudes of a community etc. [greek ethos character]
Ethyl,"n. (attrib.) A radical derived from ethane, present in alcohol and ether. [german: related to *ether]"
Ethylene,n. A hydrocarbon of the alkene series.
Etiolate,v. (-ting) 1 make (a plant) pale by excluding light. 2 give a sickly colour to (a person).
Etiology,n. (brit. Aetiology) study of causation or of the causes of disease.
Etiquette,n. Conventional rules of social behaviour or professional conduct. [french: related to *ticket]
Etruscan,adj. Of ancient etruria in italy. n. 1 native of etruria. 2 language of etruria. [latin etruscus]
Et seq.,Abbr. (also et seqq.) And the following (pages etc.). [latin et sequentia]
-ette,suffix forming nouns meaning: 1 small (kitchenette). 2 imitation or substitute (flannelette). 3 female (usherette). [french]
tude,"n. = *study n. 6. [french, = study]"
Etymology,n. (pl. -ies) 1 a derivation and development of a word in form and meaning. B account of these. 2 the study of word origins.
Eu,symb. Europium.
Eu-,"comb. Form well, easily. [greek]"
Eucalyptus,"n. (pl. -tuses or -ti) (also eucalypt pl. -s) 1 tall evergreen australasian tree. 2 its oil, used as an antiseptic etc. [from *eu-, greek kaluptos covered]"
Eucharist,"n. 1 christian sacrament in which consecrated bread and wine are consumed. 2 consecrated elements, esp. The bread."
Eugenics,n.pl. (also treated as sing.) Improvement of the qualities of a race by control of inherited characteristics.
Eukaryote,n. Organism consisting of a cell or cells in which the genetic material is contained within a distinct nucleus.
Eulogize,v. (also -ise) (-zing or -sing) praise in speech or writing.
Eulogy,n. (pl. -ies) 1 speech or writing in praise of a person. 2 expression of praise. [latin from greek]
Eunuch,"n. Castrated man, esp. One formerly employed at an oriental harem or court. [greek, = bedchamber attendant]"
Euphemism,n. 1 mild or vague expression substituted for a harsher or more direct one (e.g. Pass over for die). 2 use of such expressions.
Euphonium,n. Brass instrument of the tuba family. [related to *euphony]
Euphony,"n. (pl. -ies) 1 pleasantness of sound, esp. Of a word or phrase. 2 pleasant sound."
Euphoria,n. Intense feeling of well-being and excitement.
Eurasian,adj. 1 of mixed european and asian parentage. 2 of europe and asia. n. Eurasian person.
Eureka,int. I have found it! (announcing a discovery etc.). [greek heureka]
Euro-,"comb. Form europe, european. [abbreviation]"
Eurodollar,n. Dollar held in a bank outside the us.
European,"adj. 1 of or in europe. 2 originating in, native to, or characteristic of europe. n. 1 a native or inhabitant of europe. B person descended from natives of europe. 2 person favouring european integration. [greek europe europe]"
Europium,n. Metallic element of the lanthanide series. [from the name europe]
Eustachian tube,"n. Tube from the pharynx to the cavity of the middle ear. [eustachio, name of an anatomist]"
Euthanasia,n. Bringing about of a gentle death in the case of incurable and painful disease. [greek thanatos death]
Ev,abbr. Electronvolt.
Evacuate,v. (-ting) 1 a remove (people) from a place of danger. B empty (a place) in this way. 2 make empty. 3 (of troops) withdraw from (a place). 4 empty (the bowels etc.).
Evacuee,n. Person evacuated.
Evade,"v. (-ding) 1 a escape from, avoid, esp. By guile or trickery. B avoid doing (one's duty etc.). C avoid answering (a question). 2 avoid paying (tax). [latin evado escape]"
Evaluate,"v. (-ting) 1 assess, appraise. 2 find or state the number or amount of."
Evanesce,v. (-cing) literary fade from sight. [latin vanus empty]
Evanescent,adj. Quickly fading.
Evangelical,adj. 1 of or according to the teaching of the gospel. 2 of the protestant school maintaining the doctrine of salvation by faith. n. Member of this.
Evangelism,n. Preaching or spreading of the gospel.
Evangelist,n. 1 writer of one of the four gospels. 2 preacher of the gospel.
Evangelize,v. (also -ise) (-zing or -sing) 1 (also absol.) Preach the gospel to. 2 convert to christianity.
Evaporate,v. (-ting) 1 turn from solid or liquid into vapour. 2 (cause to) lose moisture as vapour. 3 (cause to) disappear.
Evaporated milk,n. Unsweetened milk concentrated by evaporation.
Evasion,n. 1 evading. 2 evasive answer. [latin: related to *evade]
Evasive,adj. 1 seeking to evade. 2 not direct in one's answers etc.
Eve,n. 1 evening or day before a festival etc. (christmas eve; eve of the funeral). 2 time just before an event (eve of the election). 3 archaic evening. [= *even2]
Even1,"adj. (evener, evenest) 1 level; smooth. 2 a uniform in quality; constant. B equal in amount or value etc. C equally balanced. 3 (of a person's temper etc.) Equable, calm. 4 a (of a number) divisible by two without a remainder. B bearing such a number (no parking on even dates). C not involving fractions; exact (in even dozens). adv. 1 inviting comparison of the assertion, negation, etc., with an implied one that is less strong or remarkable (never even opened [let alone read] the letter; ran even faster [not just as fast as before]). 2 introducing an extreme case (even you must realize it). v. (often foll. By up) make or become even."
Even2,n. Poet. Evening. [old english]
Even chance,n. Equal chance of success or failure.
Even-handed,adj. Impartial.
Evening,"n. End part of the day, esp. From about 6 p.m. To bedtime. [old english: related to *even2]"
Evening dress,n. Formal dress for evening wear.
Evening primrose,n. Plant with pale-yellow flowers that open in the evening.
Evening star,"n. Planet, esp. Venus, conspicuous in the west after sunset."
Even money,n. Betting odds offering the gambler the chance of winning the amount staked.
Evens,n.pl. = *even money.
Evensong,n. Service of evening prayer in the church of england. [from *even2]
Event,n. 1 thing that happens. 2 fact of a thing's occurring. 3 item in a (esp. Sports) programme.
Usage,"the phrase in the event that is considered awkward by some people. It can usually be avoided by rephrasing, e.g. In the event that it rains can be replaced by in the event of rain."
Eventful,adj. Marked by noteworthy events.
Eventide,n. Archaic or poet. = *evening. [related to *even2]
Eventing,"n. Participation in equestrian competitions, esp. Dressage and showjumping. [see *event 3]"
Eventual,"adj. Occurring in due course, ultimate."
Eventuality,n. (pl. -ies) possible event or outcome.
Eventuate,v. (-ting) (often foll. By in) result.
Ever,"adv. 1 at all times; always (ever hopeful; ever after). 2 at any time (have you ever smoked?; nothing ever happens). 3 (used for emphasis) in any way; at all (how ever did you do it?). 4 (in comb.) Constantly (ever-present). 5 (foll. By so, such) colloq. Very; very much (ever so easy; thanks ever so)."
Usage,"when ever is used with a question word for emphasis it is written separately (see sense 2). When used with a relative pronoun or adverb to give it indefinite or general force, ever is written as one word with the relative pronoun or adverb, e.g. However it's done, it's difficult."
Evergreen,adj. Retaining green leaves all year round. n. Evergreen plant.
Everlasting,adj. 1 lasting for ever or for a long time. 2 (of flowers) keeping their shape and colour when dried. n. 1 eternity. 2 everlasting flower.
Evermore,adv. For ever; always.
Every,adj. 1 each single (heard every word). 2 each at a specified interval in a series (comes every four days). 3 all possible (every prospect of success).
Everybody,pron. Every person.
Everyday,attrib. Adj. 1 occurring every day. 2 used on ordinary days. 3 commonplace.
Everyman,n. Ordinary or typical human being. [name of a character in a 15th-c. Morality play]
Everyone,pron. Everybody.
Every one,n. Each one.
Everything,pron. 1 all things. 2 most important thing (speed is everything).
Everywhere,adv. 1 in every place. 2 colloq. In many places.
Evict,v. Expel (a tenant etc.) By legal process.
Evidence,"n. 1 (often foll. By for, of) available facts, circumstances, etc. Indicating whether or not a thing is true or valid. 2 law a information tending to prove a fact or proposition. B statements or proofs admissible as testimony in a lawcourt. v. (-cing) be evidence of."
Evident,adj. Plain or obvious; manifest. [latin: related to *evidence]
Evidential,adj. Of or providing evidence.
Evidently,adv. 1 seemingly; as it appears. 2 as shown by evidence.
Evil,adj. 1 morally bad; wicked. 2 harmful. 3 disagreeable (evil temper). n. 1 evil thing. 2 wickedness.
Evildoer,n. Sinner.
Evil eye,n. Gaze that is superstitiously believed to cause harm.
Evince,"v. (-cing) indicate, display (a quality, feeling, etc.). [latin: related to *evict]"
Eviscerate,v. (-ting) disembowel.
Evocative,adj. Evoking (esp. Feelings or memories).
Evoke,"v. (-king) inspire or draw forth (memories, a response, etc.)."
Evolution,"n. 1 gradual development. 2 development of species from earlier forms, as an explanation of their origins. 3 unfolding of events etc. (evolution of the plot). 4 change in the disposition of troops or ships."
Evolutionist,n. Person who regards evolution as explaining the origin of species.
Evolve,"v. (-ving) 1 develop gradually and naturally. 2 devise (a theory, plan, etc.). 3 unfold. 4 give off (gas, heat, etc.). [latin volvo volut- roll]"
Ewe,n. Female sheep. [old english]
Ewer,n. Water-jug with a wide mouth. [latin aqua water]
Ex1,"prep. (of goods) sold from (ex-works). [latin, = out of]"
Ex2,n. Colloq. Former husband or wife. [see *ex-1 2]
Ex-1,"prefix (also before some consonants e-, ef- before f) 1 forming verbs meaning: a out, forth (exclude; exit). B upward (extol). C thoroughly (excruciate). D bring into a state (exasperate). E remove or free from (expatriate; exonerate). 2 forming nouns from titles of office, status, etc., meaning formerly (ex-president; ex-wife). [latin from ex out of]"
Ex-2,prefix out (exodus). [greek]
Exacerbate,v. (-ting) 1 make (pain etc.) Worse. 2 irritate (a person).
Exact,adj. 1 accurate; correct in all details (exact description). 2 precise. v. 1 demand and enforce payment of (money etc.). 2 demand; insist on; require.
Exacting,adj. 1 making great demands. 2 requiring much effort.
Exaction,n. 1 exacting or being exacted. 2 a illegal or exorbitant demand; extortion. B sum or thing exacted.
Exactitude,"n. Exactness, precision."
Exactly,adv. 1 precisely. 2 (said in reply) i quite agree.
Exact science,n. A science in which absolute precision is possible.
Exaggerate,v. (-ting) 1 (also absol.) Make (a thing) seem larger or greater etc. Than it really is. 2 increase beyond normal or due proportions (exaggerated politeness).
Exalt,v. 1 raise in rank or power etc. 2 praise highly. 3 (usu. As exalted adj.) Make lofty or noble (exalted aims; exalted style).
Exam,n. = *examination 3.
Examination,n. 1 examining or being examined. 2 detailed inspection. 3 test of proficiency or knowledge by questions. 4 formal questioning of a witness etc. In court.
Examine,v. (-ning) 1 inquire into the nature or condition etc. Of. 2 look closely at. 3 test the proficiency of. 4 check the health of (a patient). 5 formally question in court.
Example,"n. 1 thing characteristic of its kind or illustrating a general rule. 2 person, thing, or piece of conduct, in terms of its fitness to be imitated. 3 circumstance or treatment seen as a warning to others. 4 problem or exercise designed to illustrate a rule."
Exasperate,v. (-ting) irritate intensely.
Ex cathedra,"adj. & adv. With full authority (esp. Of a papal pronouncement). [latin, = from the chair]"
Excavate,v. (-ting) 1 a make (a hole or channel) by digging. B dig out material from (the ground). 2 reveal or extract by digging. 3 (also absol.) Archaeol. Dig systematically to explore (a site).
Exceed,"v. 1 (often foll. By by an amount) be more or greater than. 2 go beyond or do more than is warranted by (a set limit, esp. Of one's authority, instructions, or rights). 3 surpass. [latin excedo -cess- go beyond]"
Exceedingly,adv. Extremely.
Excel,v. (-ll-) 1 surpass. 2 be pre-eminent. [latin excello be eminent]
Excellence,n. Outstanding merit or quality. [latin: related to *excel]
Excellency,"n. (pl. -ies) (usu. Prec. By your, his, her, their) title used in addressing or referring to certain high officials."
Excellent,adj. Extremely good.
Excentric,var. Of *eccentric (in technical senses).
Except,"v. Exclude from a general statement, condition, etc. prep. (often foll. By for) not including; other than (all failed except him; is all right except that it is too long). conj. Archaic unless (except he be born again). [latin excipio -cept- take out]"
Excepting,prep. = *except prep.
Usage,"excepting should be used only after not and always; otherwise, except should be used."
Exception,n. 1 excepting or being excepted. 2 thing that has been or will be excepted. 3 instance that does not follow a rule.
Exceptionable,adj. Open to objection.
Usage,exceptionable is sometimes confused with exceptional.
Exceptional,adj. 1 forming an exception; unusual. 2 outstanding.
Usage,see note at exceptionable.
Excerpt,"n. Short extract from a book, film, etc. v. (also absol.) Take excerpts from."
Excess,"n. 1 exceeding. 2 amount by which one thing exceeds another. 3 a overstepping of accepted limits of moderation, esp. In eating or drinking. B (in pl.) Immoderate behaviour. 4 part of an insurance claim to be paid by the insured. attrib. Adj. Usu. 1 that exceeds a limited or prescribed amount. 2 required as extra payment (excess postage)."
Excess baggage,n. (also excess luggage) baggage exceeding a weight allowance and liable to an extra charge.
Excessive,adj. Too much or too great.
Exchange,"n. 1 giving of one thing and receiving of another in its place. 2 giving of money for its equivalent in the money of the same or another country. 3 centre where telephone connections are made. 4 place where merchants, bankers, etc. Transact business. 5 a office where information is given or a service provided. B employment office. 6 system of settling debts without the use of money, by bills of exchange. 7 short conversation. v. (-ging) 1 (often foll. By for) give or receive (one thing) in place of another. 2 give and receive as equivalents. 3 (often foll. By with) make an exchange."
Exchange rate,n. Value of one currency in terms of another.
Exchequer,n. 1 former government department in charge of national revenue. 2 royal or national treasury. 3 money of a private individual or group. [medieval latin scaccarium chessboard]
Usage,"with reference to sense 1, the functions of this department in the uk now belong to the treasury, although the name formally survives, esp. In the title chancellor of the exchequer."
Excise1,n. 1 tax on goods produced or sold within the country of origin. 2 tax on certain licences. v. (-sing) 1 charge excise on. 2 force (a person) to pay excise. [dutch excijs from romanic: related to latin *census tax]
Excise2,v. (-sing) 1 remove (a passage from a book etc.). 2 cut out (an organ etc.) By surgery.
Excitable,adj. Easily excited.
Excite,"v. (-ting) 1 a rouse the emotions of (a person). B arouse (feelings etc.). C arouse sexually. 2 provoke (an action etc.). 3 stimulate (an organism, tissue, etc.) To activity. [latin cieo stir up]"
Excitement,n. 1 excited state of mind. 2 exciting thing.
Exciting,adj. Arousing great interest or enthusiasm.
Exclaim,v. 1 cry out suddenly. 2 (foll. By that) utter by exclaiming. [latin: related to *claim]
Exclamation,n. 1 exclaiming. 2 word(s) exclaimed. [latin: related to *exclaim]
Exclamation mark,n. Punctuation mark (!) Indicating exclamation.
Exclamatory,adj. Of or serving as an exclamation.
Exclude,"v. (-ding) 1 keep out (a person or thing) from a place, group, privilege, etc. 2 remove from consideration (no theory can be excluded). 3 make impossible, preclude (excluded all doubt)."
Exclusive,"adj. 1 excluding other things. 2 (predic.; foll. By of) not including; except for. 3 tending to exclude others, esp. Socially. 4 high-class. 5 not obtainable elsewhere or not published elsewhere. n. Article etc. Published by only one newspaper etc."
Excommunicate,v. (-ting) officially exclude (a person) from membership and esp. Sacraments of the church. adj. Excommunicated. n. Excommunicated person.
Excoriate,v. (-ting) 1 a remove skin from (a person etc.) By abrasion. B strip off (skin). 2 censure severely.
Excrement,n. Faeces.
Excrescence,n. 1 abnormal or morbid outgrowth on the body or a plant. 2 ugly addition.
Excreta,n.pl. Faeces and urine. [latin: related to *excrete]
Excrete,v. (-ting) (of an animal or plant) expel (waste matter).
Excruciating,adj. Causing acute mental or physical pain.
Exculpate,v. (-ting) formal (often foll. By from) free from blame; clear of a charge.
Excursion,"n. Journey (usu. A day-trip) to a place and back, made for pleasure. [latin excurro run out]"
Excursive,adj. Literary digressive.
Excuse,"v. (-sing) 1 try to lessen the blame attaching to (a person, act, or fault). 2 (of a fact) serve as a reason to judge (a person or act) less severely. 3 (often foll. By from) release (a person) from a duty etc. 4 forgive (a fault or offence). 5 (foll. By for) forgive (a person) for (a fault). 6 refl. Leave with apologies. n. 1 reason put forward to mitigate or justify an offence. 2 apology (made my excuses)."
Ex-directory,"adj. Not listed in a telephone directory, at one's own request."
Execrable,adj. Abominable. [latin: related to *execrate]
Execrate,v. (-ting) 1 express or feel abhorrence for. 2 (also absol.) Curse (a person or thing).
Execute,"v. (-ting) 1 carry out, perform (a plan, duty etc.). 2 carry out a design for (a product of art or skill). 3 carry out a death sentence on. 4 make (a legal instrument) valid by signing, sealing, etc. [latin sequor follow]"
